TITLE = "Artificial-viscosity beta sweep"
VARIABLES = "x", "rho", "u", "p"
ZONE T="Exact", I=501, F=POINT
4.480000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.500000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.520000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.540000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.560000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.580000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.600000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.620000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.640000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.660000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.680000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.700000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
4.720000000000000e-01 3.445684735662289e-01 1.528723027606355e+00 2.466097914442420e+00
